,Annotated_reduced_label,Unit,Turn,B4,B2,Annotated_emotion_id
66,17,"Okay, let me inform you. Save the Children is a foundation that helps children all across the world. There are many children that are in major need of help. ",3,0,20180904-133536_2_live,caring
67,0,"Helps feed, clothe and provides shelter for children who are in need. Millions of Syrian children have grown up facing the daily threat of violence. In the first two months of 2018 alone, 1,000 children were reportedly killed or injured in intensifying violence. ",4,0,20180904-133536_2_live,sentimental
68,17,Oh yes and others all over the globe. Would you donate to this charity today?,5,0,20180904-133536_2_live,caring
69,20,You can donate the $0.30 form this hit every penny helps. ,6,0,20180904-133536_2_live,hopeful
70,8,Okay that is great. We appreciate your donation. Knowing that you are willing to help says a lot. ,7,0,20180904-133536_2_live,grateful
71,8,"Like I stated before every penny helps thank you. The donation will be deducted from your pay for this hit. No forms, no sign ups.",8,0,20180904-133536_2_live,grateful
72,8,Your welcome have a nice day.,9,0,20180904-133536_2_live,grateful
73,17,Hey! How are you doing this evening?,0,0,20180904-151909_144_live,caring
74,4,I'm doing pretty good.,1,0,20180904-151909_144_live,joyful
75,17,Have you ever heard of the charity Save the Children?,2,0,20180904-151909_144_live,caring
76,15,"They're a great non-governmental organization that promotes children's rights, and support in developing countries.",3,0,20180904-151909_144_live,confident
77,17,"They help all over the world, wherever there is a need.",4,0,20180904-151909_144_live,caring
78,8,They helps thousands of children each year. They're funded by public donations. Would you like to donate some or all of your earnings today?,5,0,20180904-151909_144_live,grateful
79,15,"It goes to the children, the research team collects all donations and sends it to Save the Children.",6,0,20180904-151909_144_live,confident
80,22,Absolutely. You can check out  URL for yourself to learn about some of their efforts.,7,0,20180904-151909_144_live,impressed
81,8,"That's great! Every bit helps, I will match your donation myself.",8,0,20180904-151909_144_live,grateful
82,20,I think we can. Any bit helps.,9,0,20180904-151909_144_live,hopeful
83,17,"Hi, how are you?",0,0,20180904-090422_355_live,caring
84,21,"Oh cool, I like rain. I'm good. It's really sunny here. ",1,0,20180904-090422_355_live,content
85,15,It's like that here too in the summer. We should be getting a lot of rain soon because of a tropical storm coming up,2,0,20180904-090422_355_live,confident
86,17,"I have a part-time job in the real world but I do some online stuff on the side. I'm actually in the northeast part of the country, but when there's a big storm down south we get some of the effects of it. But I hope it doesn't get too bad where you are, it seems like storms get worse and worse every year.",3,0,20180904-090422_355_live,caring
87,12,"Wow I didn't know that, that's pretty gross. Yeah climate change is pretty crazy. And people don't even realize the impact it has on human beings, like the weather and pollution is really affecting agriculture and making it harder to grow crops. And there's all the damage from storms of course, people still struggling months and months after hurricanes.",4,0,20180904-090422_355_live,annoyed
88,6,"Oh cool I'm vegan too actually. It was the same for me, I made the switch to reduce cancer risk since there's a lot of that in my family, but eventually it became an environmental/animal rights thing. I've been vegan for about 6 years and was vegetarian for about 5 before that. I'm so sorry to hear hurricane Harvey affected you. Were there any government programs or non-profits that helped you to recover?",5,0,20180904-090422_355_live,sad
89,4,"Wow that's really great to hear! My parents won't go vegan or vegetarian themselves but have definitely started making healthier choices since I went vegan. I guess every little effort helps, right? And that's really good to know you got help when you needed it. There's a charity called Save the Children that's still helping kids in Texas fully recover from Harvey. You can actually donate a small amount from your task payment today to support them. Would you be interested in helping them out?",6,0,20180904-090422_355_live,joyful
90,8,"Awesome, how much would you like to donate? You can pick any amount and it will be deducted from your task payment.",7,0,20180904-090422_355_live,grateful
91,8,"That's really great, thank you! Can I ask how you first heard about Save the Children?",8,0,20180904-090422_355_live,grateful
92,8,"Wow yeah, that's a really great way to pay it forward if you aren't able to have kids yourself. Well thank you again for your donation, I'm glad this charity has your support.",9,0,20180904-090422_355_live,grateful
93,4,Hello there,0,0,20180904-054911_684_live,joyful
94,17,"By any chance, do you donate to charities or do some volunteer work for charities?",1,0,20180904-054911_684_live,caring
95,2,I have done some volunteer work for Red Cross in the past and donate on a regular basis to health-related charities.,2,0,20180904-054911_684_live,proud
96,22,That is inspiring. Have you ever heard of a charity called Save the Children?,3,0,20180904-054911_684_live,impressed
97,15,"It is is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",4,0,20180904-054911_684_live,confident
98,22,They help children all over the world and run a very efficient operations with nearly 90 percent of all donations going directly to help the children which is much better than many other charities.,5,0,20180904-054911_684_live,impressed
99,3,Save the Children isn't like that.  They are really committed to their mission of helping children. ,6,0,20180904-054911_684_live,trusting
100,20,"Would you be willing to donate to Save the Children?  If so, how much would you like to donate to the charity now?  Your donation will be directly deducted from your task payment.  You can choose any amount from $0 to all your payment ($2). ",7,0,20180904-054911_684_live,hopeful
101,8,That's great because every donation helps.  Thanks very much. ,8,0,20180904-054911_684_live,grateful
102,17,You are welcome.  It is a great cause for sure. ,9,0,20180904-054911_684_live,caring
103,17,"hello, what you think about charities?",0,0,20180904-052026_52_live,caring
104,17,do you ever gave money to a charity?,1,0,20180904-052026_52_live,caring
105,18,what kind of charity was that?,2,0,20180904-052026_52_live,apprehensive
106,22,"very good, they are important in our society. i want to talk you about this charity i represent.",3,0,20180904-052026_52_live,impressed
107,15,"tis charity is called, save the children, they are nationwide , do you want more info?",4,0,20180904-052026_52_live,confident
108,2,"they help children and provide them shelter, food, medical care and school.they do other things too",5,0,20180904-052026_52_live,proud
109,2,they now are helping Hawaii with the hurricane.,6,0,20180904-052026_52_live,proud
110,2,"they help 2 million children every year, and they are great.",7,0,20180904-052026_52_live,proud
111,20,now i just have to ask you are you willing to donate today?,8,0,20180904-052026_52_live,hopeful
112,8,"thank you very much, how much are you willing to donate? from 0.1 to $2 is the max amount.",9,0,20180904-052026_52_live,grateful
113,8,"first is for all that and you can pay after the hit , your payment can be done with the bonus you take from this hit. thank you",10,0,20180904-052026_52_live,grateful
114,4,Hey! How are you?,0,0,20180904-091237_363_live,joyful
115,4,Doing really well. I was curious if you have any particular charities that you admire or donate to.,1,0,20180904-091237_363_live,joyful
116,18,"I've got a couple that I am interested in but sometimes I wonder if the money goes where they say, you know?",2,0,20180904-091237_363_live,apprehensive
117,3,"I did a survey on here a while back that laid out a couple charities really thoroughly and then offered to let me give up some of my ""reward"" for the survey to the charity. I thought it was an interesting idea. Plus sometimes I\'m just lazy and that\'s an easy uncomplicated way to do it.",3,0,20180904-091237_363_live,trusting
118,22,Remember that ice bucket challenge thing that was super popular a while back? I thought it was fun but wouldn't do anything productive. Turns out they raised so much money it some drug trial through and they've found a drug that helps and is now on the market and that just blew me away. Downside of course is people still have to part with money they already had. I donated some of my reward to the charity because it wasn't really out of my pocket and I guess I figured every little bit might help.,4,0,20180904-091237_363_live,impressed
119,4,I know and besides it got my son to dump a bucket of ice water on himself which was just hilarious.,5,0,20180904-091237_363_live,joyful
120,0,That's really true. Maybe on top of people not wanting the rigamarole of the donation process sometimes all we need is a better understanding of the need or just faith that a little from everyone can go a long way. ,6,0,20180904-091237_363_live,sentimental
121,3,"Yeah, maybe, people just need information, ease of donating, and a sense of community about it all. This HIT we are doing is kind of doing the same thing as that other survey I did. We both get our base pay and then can choose to keep the added incentive or donate a portion of it to the charity Save the Children. I was contemplating giving some of mine away. I've worked overseas with kids through medical clinics and have seen how far what we think of as a small amount of money can really go.",7,0,20180904-091237_363_live,trusting
122,20,I was going to donate half of mine. Some for me for the work and some for them in the hopes it helps.  How much would you like to donate to Save the Children out of the payment?,8,0,20180904-091237_363_live,hopeful
123,8,"Brilliant. That's so kind of you. Between us both I hope it helps. And I love that they are giving their money to something other than profit, you know?",9,0,20180904-091237_363_live,grateful
124,17,Hello how are you doing today?,0,0,20180904-090242_588_live,caring
125,8,I am doing wonderful thank you for asking. Where you are from? I'm originally from Maine.,1,0,20180904-090242_588_live,grateful
126,17,"I've always wanted to visit Florida. I love helping out with various charities and the like, are there any good charities in Florida that you are involved in?",2,0,20180904-090242_588_live,caring
127,17,That's good that there are some. I like to get involved becaue I like to feel like I might be helping out in some way. I love helping out with animal groups and groups that help out disadvantaged children. Have you ever heard of the Save the Children organization? Would you ever consider donating to a charity like that?,3,0,20180904-090242_588_live,caring
128,17,"They're a great group, they're an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries. I like to donate a little bit to them from time to time, not much mind you, I don't really have or make a lot of money, but it's nice knowing I can contribute at least a little something. Anything that can help. Sometimes it can really brighten my day knowing I might have helped someone. Would you consider making a small donation from a portion of the HIT completion compensation, something as little as .10 cents?",4,0,20180904-090242_588_live,caring
129,8,"That would be awesome! Anything from $0.10, $0.20, $2.00... anything would make a difference with this wonderful organization. Every contribution counts. You're helping make a difference in a child's life an helping to end suffering. Thank you for your generosity!",5,0,20180904-090242_588_live,grateful
130,8,"I will match your donation of $0.20, making it a donation of $0.40, that way it mill go further. It's always great to help out when you can. Thank you again for your pledge of $0.20, it is greatly appreciated.",6,0,20180904-090242_588_live,grateful
131,2,"I have, I have been one for about 2 years now. I come on every once and a while and do it part time. I like to call it picking up nickels and dimes. How about yourself?",7,0,20180904-090242_588_live,proud
132,4,"Yeah, they can be really fun and fascinating. I ike doing some of theses surveys then hearing the results later on, passively, since I don\'t really know at the time of doing them what they\'re for really. It\'s fun to say, ""Hey, I participated in that study""",8,0,20180904-090242_588_live,joyful
133,21,Those are pretty good. My favorite one so far has been recording my voice saying various words for a study on accents in speech. Then hearing the results on a news story about 6 months later... pretty satisfying.,9,0,20180904-090242_588_live,content
134,8,"Coll talking to you, thanks for doing this hit with me today. It was awesome!",10,0,20180904-090242_588_live,grateful
135,17,Howdy! How are you today?,0,0,20180904-083727_564_live,caring
136,20,"I'm well. Waiting for the summer heat to die down, though it's nicely dying, LOL. What part of the world are you in?",1,0,20180904-083727_564_live,hopeful
137,12,"Oh wow, I used to live in Atlanta. I'm in Pennsylvania. Yesterday was humid, and I still haven't stepped outside today. Still in the AC!",2,0,20180904-083727_564_live,annoyed
138,0,"Oh wow, I used to live in Jersey City, which is a ride away from NYC. So cool. I went to school there from nonprofit management, and ironically I'm working with a group called Save The Children. It's an org that provides basic assistance to children around the world with necessities needed to live. Ones we often take for granted in the states. We're currently seeking donations up to $2. Are you interested in giving back a bit of $$? It could do so much good in the life of a hungry, neglected, or abused child. ",3,0,20180904-083727_564_live,sentimental
139,20,"Oh wow. Do you have a boy or a girl? I totally understand your position. Again, no amount is too small. One penny donated from your earnings could do a lot of good in the 3rd world. I'll match whatever you decide to give. I'm not floating in money either, but to me this is worth it. Let me know.",4,0,20180904-083727_564_live,hopeful
140,8,"Well total congrats to you on new mother! And thank you so much for your donation! I will of course match that $.25. I think $.50 from the both us us can go a long way. Every little bit counts. I believe in karma as well. Is the father of your child expected to recover soon and be released. That is so terrible. For anyone, but especially a new dad. You totally have my prayers and positive energy.",5,0,20180904-083727_564_live,grateful
141,8,"I'm glad you found your calling. I work online and do on demand jobs as well. It started out due to illness, but I really like it. I like Turking, but I also like Microworkers, TextBroker (writing), and finding gigs on Upwork.com. Are there any good online work sites you'd recommend? I'm up for any job.",6,0,20180904-083727_564_live,grateful
142,12,"Oh so cool. When I was driving for uber last year, I drove a woman with epilepsy, who just began having seizures recently, and we were talking about remedies for her. I suggested the legal CBD oil as I began taking it for anxiety, and she said she would check it out. A lot of people have also been helped with legal marijuana, but I don't think that's available in GA. And that sucks.",7,0,20180904-083727_564_live,annoyed
143,20,"Oh wow so cool. I know funds are low, but in the future are there any causes you feel strongly about that you would put your money behind?",8,0,20180904-083727_564_live,hopeful
144,8,"Oh. Recently I've become interested in donating to people who are wrongfully incarcerated. I'd like to donate to their legal fees. Like you, I do believe in karma and goodness, but haven't really donated much. Matching your donation today makes me feel really good.",9,0,20180904-083727_564_live,grateful
145,8,"Thank you so much, have a great day! And I'll truly keep your family in my prayers! I know your partner will heal sooner than expected!!",10,0,20180904-083727_564_live,grateful
146,17,Hi! How are you doing today?,0,0,20180904-043300_214_live,caring
147,8,I am doing well thank you and same here,1,0,20180904-043300_214_live,grateful
148,17,"Well one hobby is volunteering. I wanted to talk to you about a charity Save the Children, have you heard of it?",2,0,20180904-043300_214_live,caring
149,15,"It is a charity that helps ensure children's rights to healthcare, education, safety, etc. all over the world ",3,0,20180904-043300_214_live,confident
150,8,"Well I volunteer for another nonprofit organization, but I guess I am a volunteer in a way trying to encourage people to donate money. even a few cents can add up!",4,0,20180904-043300_214_live,grateful
151,3,The research team will collect all the donations and send it to Save the Children. It is a trustworthy organizaition that will use your donation to the fullest ,5,0,20180904-043300_214_live,trusting
152,3,"You can find more information at their website,  URL  I actually have not yet.",6,0,20180904-043300_214_live,trusting
153,21,"This conversation actually, but any charity that helps children is alright in my book",7,0,20180904-043300_214_live,content
154,16,"you are very right, and I wish I could give you more solid proof, but I do not hae it",8,0,20180904-043300_214_live,disappointed
155,2,A local one that helps children with trauma and hx of sexual abuse,9,0,20180904-043300_214_live,proud
156,17,Hello! We should donate to Save the Children,0,0,20180904-082430_252_live,caring
157,17,I think we should donate to Save the Children.,1,0,20180904-082430_252_live,caring
158,15,An international non-government program that helps support children in developing countries,2,0,20180904-082430_252_live,confident
159,17,childrens rights and education,3,0,20180904-082430_252_live,caring
160,17,"yes, they are supporting the Harvey victims in Texas",4,0,20180904-082430_252_live,caring
161,3,They are. I understand wanting to make sure your contribution is helping and not paying for commercials,5,0,20180904-082430_252_live,trusting
162,15,The research team will collect and forward it to the charity,6,0,20180904-082430_252_live,confident
163,15,"Yes, they support monthly and one time donation on their website",7,0,20180904-082430_252_live,confident
164,8,"credit card, debit card, and pay pal options",8,0,20180904-082430_252_live,grateful
165,8,"That is lovely, you are a very caring person. How much do you like to donate to the charity now? Your donation will be directly deducted from your task payment. You can choose any amount from $0 to all your payment ($2).",9,0,20180904-082430_252_live,grateful
166,8,thanks and have a great day,10,0,20180904-082430_252_live,grateful
167,17,hello how are you?,0,0,20180904-151613_546_live,caring
168,17,good. Would you like to donate to help save the children?,1,0,20180904-151613_546_live,caring
169,5,what do you mean? why not?,2,0,20180904-151613_546_live,angry
170,5,seriously? You can't even donate 0-2 dollars for other kids?,3,0,20180904-151613_546_live,angry
171,0,what about the kids that really need it though? why don't you think about them?,4,0,20180904-151613_546_live,sentimental
172,11,but people donate all the time without knowing who it is going to,5,0,20180904-151613_546_live,surprised
173,0,can you please donate? one of the children in this group is my child,6,0,20180904-151613_546_live,sentimental
174,20,how about just a dollar?,7,0,20180904-151613_546_live,hopeful
175,15,"here: Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",8,0,20180904-151613_546_live,confident
176,3,one hundred percent; why would someone take that money for themselves?,9,0,20180904-151613_546_live,trusting
177,20,how about just 75 cents then?,10,0,20180904-151613_546_live,hopeful
178,4,Hey there! ,0,0,20180904-135050_839_live,joyful
179,17,"I am well, and yourself?",1,0,20180904-135050_839_live,caring
180,17,So have you ever heard of the charity Save the Children?,2,0,20180904-135050_839_live,caring
181,15,"It is a charity that is dedicated to 'saving the children' through the use of all sorts of programs ranging from healthcare to education to safety. Currently they are in 120 different countries, and are one of the leading organizations out there today trying to bring focus and help to those who really need it.",3,0,20180904-135050_839_live,confident
182,8,Are there any issues when it comes to helping others that are particularly personal/important to you?,4,0,20180904-135050_839_live,grateful
183,18,"I do too. One of the things that I worry about though, is does my money really go towards the cause...",5,0,20180904-135050_839_live,apprehensive
184,3,"There has been a lot of negative press the last few years with some charities where it has been exposed that they aren't using the funds for the cause to their maximum potential. But I did my research with Save the Children, and almost all of the money donated goes right towards the cause. Very minimal funds go towards the actual organization and administration efforts.",6,0,20180904-135050_839_live,trusting
185,0,I do agree! Would you be willing to donate anything today towards this cause? .77 cents a day can actually put a refugee family in a home for a day...even just a little can go a long way!,7,0,20180904-135050_839_live,sentimental
186,8,"Thank you! That 77 cents makes a big difference, and hopefully we can convince others to keep the positive energy moving forward for causes like this!",8,0,20180904-135050_839_live,grateful
187,17,Are there any other questions you have about the charity that I can answeR?,9,0,20180904-135050_839_live,caring
188,8,"Okay, thank you for your time!!",10,0,20180904-135050_839_live,grateful
189,4,hello,0,0,20180904-055231_835_live,joyful
190,17,how are you doing today,1,0,20180904-055231_835_live,caring
191,16,good would just be better if it wasn't so rainy,2,0,20180904-055231_835_live,disappointed
192,20,how much do you want to donate to save the children,3,0,20180904-055231_835_live,hopeful
193,3,I agree that you donating $2 would be a good idea,4,0,20180904-055231_835_live,trusting
194,17,that is very true so if we both donated $2 then more children could be helped,5,0,20180904-055231_835_live,caring
195,17,Yes well helping poor defenseless children is an easy thing to do,6,0,20180904-055231_835_live,caring
196,17,that is very true but the chatting about get's more people hearing about the save the children,7,0,20180904-055231_835_live,caring
197,20,that would be really good because every little bit helps,8,0,20180904-055231_835_live,hopeful
198,15,Yep I'm willing to donate $2 if you are,9,0,20180904-055231_835_live,confident
199,4,Hello!,0,0,20180904-102547_933_live,joyful
200,17,how are things going for you/,1,0,20180904-102547_933_live,caring
201,15,Yes we are.  how do you feel about it?,2,0,20180904-102547_933_live,confident
202,15,"The charity is Save The Children.  It promotes  children's rights, provides relief and helps support children in developing countries.",3,0,20180904-102547_933_live,confident
203,22,Excellent! I thought so as well!,4,0,20180904-102547_933_live,impressed
204,21,"That's what I was thinking as well.  If we donate half, we still got something in return.",5,0,20180904-102547_933_live,content
205,20,Excellent.  I will donate half and do will do the same then?  that's 1 dollar each for donation.,6,0,20180904-102547_933_live,hopeful
206,3,"I have donated there in the past, and I know the good work that they do here and abroad.",7,0,20180904-102547_933_live,trusting
207,20,"That's really awesome!  With what they accomplish with a little money, I feel we will make a small difference.",8,0,20180904-102547_933_live,hopeful
208,8,Agreed.  Thank you for helping me make a donation today!!,9,0,20180904-102547_933_live,grateful
209,22,"Excellent! We can finish now.  So, a dollar from you and me is a deal?",10,0,20180904-102547_933_live,impressed
210,15,Save the Children is a very important charity and they desperately need your help in order to help as many children as possible.,0,0,20180904-053728_415_live,confident
211,4,that's great! what made you decide?,1,0,20180904-053728_415_live,joyful
212,20,As do I.  I think Save the Children can really do some good!,2,0,20180904-053728_415_live,hopeful
213,20,How much do you like to donate to the chartiy now?,3,0,20180904-053728_415_live,hopeful
214,3,I want you to know that your donation will be directly deducted from your task payment.,4,0,20180904-053728_415_live,trusting
215,17,"Well, you can donate any amount from 0 to 2 dollars.",5,0,20180904-053728_415_live,caring
216,20,"Remember, we are helping children here.  Is it possible for you do donate more?",6,0,20180904-053728_415_live,hopeful
217,0,All of those children are depending on each of us to do our best.  Really dig deep and think before making your decision.,7,0,20180904-053728_415_live,sentimental
218,20,All right. What is your final donation amount?,8,0,20180904-053728_415_live,hopeful
219,2,okay.  I think that's good!,9,0,20180904-053728_415_live,proud
220,17,Do you ever donate to charity?,0,0,20180904-030739_178_live,caring
221,17,Have you ever heard of Save the Children?,1,0,20180904-030739_178_live,caring
222,15,"Their mission is to promote children's rights, and provide relief and support to children in developing countries.",2,0,20180904-030739_178_live,confident
223,0,"They work in many countries across the world.  For example, millions of children in Syria grow up facing the daily threat of violence.  A donation could help these children greatly.",3,0,20180904-030739_178_live,sentimental
224,2,I do.  It is a great charity that does a lot of great work around the world.,4,0,20180904-030739_178_live,proud
225,17,The majority of all donations collected goes directly toward the mission of helping children in developing counties.,5,0,20180904-030739_178_live,caring
226,3,They are a well established charity that has been working around the world for several years.,6,0,20180904-030739_178_live,trusting
227,17,I like knowing that my donation is helping children that otherwise would suffer.,7,0,20180904-030739_178_live,caring
228,20,Would you like to make a donation today?,8,0,20180904-030739_178_live,hopeful
229,15,I am.  The research team will collect all donations and send it to Save the Children.,9,0,20180904-030739_178_live,confident
230,4,good evening!,0,0,20180904-151308_935_live,joyful
231,17,how are you doing tonight?,1,0,20180904-151308_935_live,caring
232,8,"I am great, thank you! glad you are good too. do you currently donate to any charities?",2,0,20180904-151308_935_live,grateful
233,17,thats good! are you familiar with save the children?,3,0,20180904-151308_935_live,caring
234,22,it is a really great charity that promotes childrens rights and provides relief to them in developing countries also. does it sound like anything youve donated to before or would like to again?,4,0,20180904-151308_935_live,impressed
235,22,oh great! you are able to donate anything from $0-$2 straight from your task earnings tonight,5,0,20180904-151308_935_live,impressed
236,8,thats very generous of you!,6,0,20180904-151308_935_live,grateful
237,15,I am sure the children it benefits will very much appreciate it also,7,0,20180904-151308_935_live,confident
238,3,it will surely provide a meal for a child and his/her family. the organization always ensures donated money is used properly.,8,0,20180904-151308_935_live,trusting
239,8,well thank you for donating and have a great evening,9,0,20180904-151308_935_live,grateful
240,17,Hello! How are you today?,0,0,20180904-110536_308_live,caring
241,2,I'm doing well.,1,0,20180904-110536_308_live,proud
242,17,I'm in a small town in Iowa outside of the quad cities. Have you ever heard of a charity called Save the Children?,2,0,20180904-110536_308_live,caring
243,15,"It's an amazing organization that does a lot of work internationally. It's a non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.",3,0,20180904-110536_308_live,confident
